title,company,location,job_type,description,url
CTO & Co-Founder,Emploai.io,Aarhus,Cofounder,"Ready for a pivotal role in a tech startup with high ambitions to make a significant difference - internationally?
At Emploai, we aim to create the future workforce for B2B companies, both nationally and internationally. Currently, we're looking for a dedicated and experienced Tech Lead/CTO who will be a central driving force in building and scaling Emploai and our first AI-powered digital worker (Alex, the SDR)

About Emploai:
Scaling a business is hard. Most people would agree to this, and the ""old ways"" of doing things are both expensive, non-reliable and not very scalable. According to Hubspot, 61% of B2B marketers cite generating high-quality leads as their biggest challenge, and the option for solving this problem is usually hiring more SDRs (Sales development representatives). However, this comes with a range of issues:
They are very expensive...
The good ones are hard to come by...
They take a while to hire...
Furthermore, the average human-SDR only spends 28% of their week actually selling. At Emploai, we believe this number should be a lot closer to 100%.

Now imagine Employees (Emploai´s), that work for you 27/7/365, never miss a beat, get smarter over time and are cheaper and faster to hire. The first of these AI-powered digital workers is""Alex"", who is...:
Trained in every step of the top-of-funnel strategy for a B2B company
Fully automized (So little to no work needed for the customer)
Multilingual, and will expand to every market with you!

And he has already:
Booked +2000 sales calls for our partners
Generated over 10.000.000€ in extra pipeline value for our partners
Increased yearly revenue by 1.600.000€ for our partners

About the Role:
This essential role emerges at a critical juncture, aligning perfectly with Emploai´s preparations for a substantial growth phase. You will actively contribute to shaping the core elements of both the product and the company during this defining stage.
Own and communicate product strategy, data strategy, architecture, and tech stack
Build and maintain a robust and scalable platform
Translate customer needs into roadmaps for internal and external developers, designers, and data specialists
Prioritize, plan, and be responsible for delivery - but also be hands-on and code the platform itself
Own and continuously improve data flow, database, and performance
Utilize data and predictive models to enhance products and services
Participate in company strategy, go-to-market, fundraising, organizational development, etc.

About You:
You not only have significant technical expertise across software development, data, and ideally AI, but are also passionate about making a difference. You have a problem-solving mindset, and a drive to figure out things you don’t yet know.
Solid experience leading technical resources and projects
Experience from startups/scale-ups, and thrive in a hectic environment
Deeply engaged in user experience and curious about new technologies
Strong collaboration skills, great at building trust with internal and external stakeholders
Handle complexity, uncertainty, and time pressure well, comfortable making difficult decisions and prioritizing to achieve the best result

Why Emploai?:
Key role in building and scaling a product of societal value
Opportunity to join an ambitious team at an early stage
Ownership in the company
Flexibility - yes, you often have to roll up your sleeves, but you also get flexibility in return

Ready to dive in and join us on this exciting journey? Then we want to hear from you.

We're processing applications continuously, so don't wait until tomorrow!

For more information or questions please contact us at nicola@thehub.io",https://thehub.io/jobs/66cf39d92d7c72b5b3cc8065
PHP and Laravel Developer,ConsortiaManager,Copenhagen,Full-time,"PHP & Laravel Developer (Remote or Copenhagen)
About ConsortiaManager
ConsortiaManager is more than just a software company; it's a place where innovative minds come together to shape the future of academic libraries and research. Established in 2014 in Copenhagen, Denmark, we have quickly become a leader in our field, serving over 12,000 libraries worldwide. Our flagship product, ConsortiaManager, and our latest tool, ROAM.plus, are improving library acquisitions and workflow efficiencies, managing over €1 billion in purchases annually.
As the academic world embraces more open access content, ConsortiaManager is at the forefront, offering innovative solutions to support this transformation. Join us, and be part of a team that's making a real difference in democratizing access to information and knowledge.
The Opportunity
We are seeking an experienced PHP & Laravel Developer to join our dedicated team, where you will have the chance to work on projects that have a global impact, including for prestigious institutions like Stanford, Yale, and the United Nations. This role is not just about coding; it's about building solutions that matter, with a team that believes in the power of creativity and innovation.
Why Join Us?
Purpose-Driven Work: Your efforts will directly support thousands of libraries and universities worldwide, making scientific and academic research more accessible and equitable.
Autonomy in Your Role: Enjoy the freedom to shape your workflow and projects in a way that aligns with your personal strengths and interests. We trust you to take initiative and give you the space to innovate.
Mastery and Growth: Be part of a collaborative environment that challenges you to grow and supports your journey towards mastering your craft. Continuous learning is part of our DNA, whether through peer collaboration, professional development opportunities, or hands-on experience.
Stability with Flexibility: As a profitable, bootstrapped company, we provide the security you need to do your best work, paired with the flexibility to balance your professional and personal life. Whether you choose to work remotely or from our Copenhagen office, we support your choice.
Role & Responsibilities
Innovative Development: Take the lead in enhancing our main product, ConsortiaManager, within a collaborative team that values creative solutions and sustainable development.
End-to-End Engagement: From ideation and design to coding and implementation, you will influence every stage of the development process, ensuring a product that resonates with our users.
Strategic Integration: Your role is crucial in evolving our codebase and integrating it with other data sources and products. Your work will involve not just technical prowess but a strategic vision that ties different systems together seamlessly.
Technical Skills Required
Proven PHP Expertise: Minimum 6 years of experience with PHP and MySQL.
Laravel Proficiency: At least 4 years of experience with the Laravel framework.
Front-End Skills: Solid understanding of JavaScript and modern front-end build pipelines. Professional experience and proficiency in Vue.js would be highly regarded.
Collaborative Tools: Proficiency in Git and tools like GitHub; good knowledge of testing methodologies, preferably TDD.
Infrastructure Savvy: Some experience with AWS and Laravel Forge, enabling robust and scalable solutions.
Preferred Skills
Experience with GitHub Actions or modern CI/CD pipelines.
Knowledge of Docker and containerization.
Soft Skills
Effective Communication: Fluent in English, both spoken and written, with the ability to share ideas and collaborate effectively.
Self-Driven Team Player: Able to work effectively in a team and independently, with a strong sense of initiative and responsibility.
Adaptive Learner: Eager to learn and adjust as the landscape evolves, embracing challenges and new opportunities.
Perks & Benefits
Competitive Compensation: Attractive salary and comprehensive benefits.
Wellness and Balance: 25 days of annual paid vacation, plus flexible working arrangements.
Inspiring Work Environment: Choose to work remotely or from our well-appointed Copenhagen office, complete with company-paid lunches and other perks.
Development Opportunities: Continued education, conferences, and professional growth opportunities.
Social and Team Building: Regular team activities and social events to foster a sense of community and fun.
Additional Information
Please note, we are not looking for candidates from recruiting or outsourcing firms. Preference will be given to applicants in or close to European time zones for remote positions.
For more information or questions please contact us at nicola@thehub.io",https://thehub.io/jobs/66e82b029a7ef6c6c87fe903
Frontend Developer Intern,Gathergram,Remote,Internship,"About GatherGram: GatherGram is redefining how social events, especially weddings, are experienced by offering interactive and memory-preserving tools for guests and hosts alike. As we expand, we are looking for a Frontend Developer Intern to help us build a sleek, user-friendly interface for our mobile and web applications.
Job Description: We’re looking for a talented Frontend Developer Intern to join our team. You will work closely with our design and backend development teams to create responsive, interactive, and visually appealing web and mobile applications. This role is ideal for someone with a passion for creating excellent user experiences and a desire to learn and grow in a collaborative environment.
Responsibilities:
Develop and maintain the front end of our web and mobile applications using React and other relevant technologies.
Collaborate with the UI/UX team to implement designs into functional code.
Optimize application for maximum speed and scalability.
Ensure the technical feasibility of UI/UX designs.
Troubleshoot and debug web applications as needed.
Qualifications:
Familiarity with HTML, CSS, JavaScript, Typescript, and React.
Experience or coursework in frontend development.
Understanding of responsive design principles.
Ability to work independently and in a team environment.
Eagerness to learn new technologies and improve coding skills.
Bonus Points:
Exposure to mobile development frameworks like React Native.
Familiarity with version control systems like Git.
Why GatherGram?GatherGram is a platform that is revolutionizing how social events, particularly weddings, are experienced. As a frontend developer intern, you’ll have the opportunity to develop and optimize a sleek, user-friendly interface that will be used by thousands of people to celebrate life’s most cherished moments. You’ll work alongside experienced developers in a collaborative environment where your contributions will have a tangible impact on the user experience and the success of the platform.
For more information or questions please contact us at Info@gathergram.app",https://thehub.io/jobs/66e33a049a7ef6c6c87ef363
Marketing Manager,ØNSK,Copenhagen,Full-time,"Marketing Manager
Vil du være med til at revolutionere kaffeindustrien og skabe en grønnere fremtid for både forbrugere og producenter? ØNSK søger en passioneret Marketing Manager, der vil stå i spidsen for vores vision om at kombinere velsmagende kaffe med en positiv indvirkning på verden. I 2023 omsatte vi for 20 mio - og i 2026 omsætter vi for 100 mio, og det er den rejse, vi har brug for dig til.
Hos ØNSK er vi i gang med at ændre kaffeindustrien. Siden 2017 har vi arbejdet direkte og uden mellemled med kaffebønder i Nicaragua og Peru for at fremme et regenerativt og økologisk skovkaffesystem. Vores indsats har allerede resulteret i 70% CO2-besparelser og øget bøndernes betaling med 45%. ØNSK leverer i dag kaffe til over 800 virksomheder, og vi er på en mission om at inspirere både forbrugere og virksomheder til at vælge en grønnere og mere bæredygtig kaffe.

Om rollen:
Som Marketing Manager får du ansvaret for vores marketingafdeling, som består af to dygtige kollegaer. Du vil både udvikle, og i høj grad være ansvarlig for at eksekvere på vores marketingstrategier. Du har altså både den strategiske hat på, men i høj grad også fingrene i bolledejen. Som strategisk sparring kommer du til at arbejde tæt sammen med ledelsesteamet og vores advisory board for Brand & Marketing.
ØNSK er i scaleup fasen, ligeså er vores marketing. Det betyder også at du har meget frie rammer, og vi omvendt også forventer du kan være i dette. Nedenfor er en ønskeliste - som jobopslag nu er - for os er det personligheden der er vigtigst, selvfølgelig med en faglig ballast.

Dine opgaver og ansvarsområder:
Lede og udvikle marketingafdelingen, herunder ansvaret for to medarbejdere - som vi på sigt håber kan blive endnu større.
Skabe og eksekvere marketingstrategier med fokus på lead-generering, paid social, e-mail marketing (gerne i Klaviyo) og organisk SOME
Samarbejde med eksterne leverandører om deres ydelser til os
Optimere UX og konvertering på vores hjemmeside www.onsk.dk
Supervisere content creation-opgaver, inklusiv foto- og videoredigering
Sparre med ledelsen og advisory board om brandudvikling og markedsføringsinitiativer

Vi søger en Marketing Manager, der (igen, husk det er en ønskeliste):
Er struktureret, løsningsorienteret og kreativ - ja, vi drømmer om en der kan alt
Har arbejdet med lead-generering til B2B
Har flair for at arbejde med content på sociale medier og elsker at eksekvere på idéer
Trives med ansvar og evner at tage ejerskab over opgaver - selvledelse er et must
Har erfaring fra en lignende stilling med paid social, PPC, SEO og e-mail marketing
Har lidt erfaring med ledelse og ønsker at udvikle sine evner her indenfor
Har arbejdet med FMCG eller brands

Vi tilbyder:
En alsidig hverdag i et ungt og uformelt, men ambitiøst arbejdsmiljø
Mulighed for personlig og faglig udvikling i samarbejde med vores ledelsesteam, bestyrelse og advisory board
Muligheden for at lede og udvide marketingteamet i takt med vores vækst
Løn fastsættes efter kvalifikationer. Vi har overenskomst. Oplys gerne forventet lønniveau i ansøgningen. Vi er stadigvæk en omkostningsbevidst virksomhed så forvent ikke vi sprænger lønrammerne.
På længere sigt, mulighed for at vokse ind i en rolle med endnu mere ansvar og evt. mulighed for investering i virksomheden.
Muligheden for at komme med til Nicaragua og/eller Peru for at besøge bønder og dokumentere vores impact-arbejde.

Ansøgning: Vi modtager mange ansøgninger, og hvis du vil skille dig ud, så vedhæft en kort video på maksimalt 2 minutter, hvor du kort fortæller om dig selv. Ansøgning sendes via the hub. Ansættelsesstart er fra november-december, og vi besvarer ansøgningerne i slutningen af september og vil derefter løbende holde samtaler.


//
5 gode grunde til at søge job ved ØNSK

Du bliver en del af et ungt og ambitiøst team, hvor der er en ligefrem og uformel tone. Vi har en ung gennemsnitsalder og vægter sociale arrangementer højt. Hver anden måned har vi et socialt arrangement, og hver fredag er fyraftensdrikken så sikkert som amen i kirken. Og +point hvis du kan serve som Michael Maze.
Vi elsker bæredygtighed.. og bruger faktisk rigtig meget tid på det i virksomheden. Så hvis du ønsker at lære mere om bæredygtighed, eller selv er passioneret indenfor for feltet, så kan du bruge dit arbejde til faktisk at gøre en bæredygtig forskel.
Du får mulighed for at udvikle dig fagligt. Med mangeartede opgaver vil du lære en masse indenfor de forskellige discipliner af marketing. Bag os har vi en gruppe investorer, som har taget taget virksomheder fra 0-100. Vi bruger jævnligt investorerne som mentorer og indenfor marketing og e-handel, er der helt sikkert nogle stykker, du kan lære en masse af.
En masse frihed. Vi arbejder med stor frihed i ØNSK og tør du tage ansvaret, så vil der være fantastiske muligheder for selv at styre, hvordan arbejdet tilrettelægges.
Du kommer ind i en virksomhed i en rivende udvikling og med store vækstrater. Vi har et skarpt koncept og markedet er veloplagt.

For more information or questions please contact us at andreas@onsk.dk",https://thehub.io/jobs/66e14c2b9a7ef6c6c819626d
Marketing Manager,Fullview,Remote,Full-time,"This role can either be fully remote or on-site in Copenhagen, Denmark.

About Us:
Fullview is a fast-growing startup backed by tier one investors that is helping companies deliver exceptional customer experiences at scale. We are currently seeking an entrepreneurial Marketing Manager to join our growing team. If you are passionate about digital marketing and eager to take Fullview’s marketing to the next level, we want to hear from you!
We're backed by the investors behind Pleo, Revolut, Snapchat, and more.

About the role:
We are looking for a mid to senior level Marketing Manager to take the lead on marketing to generate inbound leads and help sales with Account Based Marketing.
Must be a generalist (""T-Shaped marketer"") but needs to have experience especially with paid search, Linkedin ads and ABM.
Must have a sharp eye for design and product marketing to present and position the Fullview product in the best light.
Produce sales material content (e.g decks or landing pages) to help outbound.
Maintain and grow SEO rankings.

Qualifications:
Minimum 4-5 years full time experience.
Must have worked in early stage startups that went from seed stage to Series A+.
Must have a ""founder's spirit"" and show entrepreneurial mindset. Ideally you have built your own side projects, or even had your own startup.
Able to be cross-functional in different domains of marketing, but needs to have experience with Account Based Marketing and enterprise marketing in sales driven companies.
Big plus if you have worked in a startup also selling to customer support teams.

To save yourself and us time, please do NOT apply if:
You have less than 4 years full time experience in marketing.
Have never worked in an early stage startup (early stage = sub 30 employees).
Have not worked in a sales led company (e.g if you only worked with product-led or B2C).
Expect to manage people and delegate work to others.

What We Offer:
Competitive salary and equity.
A collaborative and supportive work environment that is remote-friendly.
Frequent travels for team building events.
Work directly with ambitious founders and become part of building something great from an early stage.",https://thehub.io/jobs/66e411c19a7ef6c6c8a19af2
Fashion Content Creator,AUNORA,Copenhagen,Part-time,"Fashion Content Creator
Vil du være med fra starten på rejsen mod at skabe Danmarks næste store fashion webshop? Vi søger en person, der brænder for at udvikle engagerende content til vores brugere. Opgaverne vil spænde fra produktbilleder til hjemmesiden til at producere Instagram reels. Du skal være klar på selv at være med på billederne og videoerne og skabe personligt indhold med os.
Om os:
Vi er AUNORA, der sigter mod at blive Danmarks nye fashion webshop med fokus på personlighed. Vores mission er at skabe engagerende socialt medieindhold, der inkluderer daglige vlogs, stylingtips, billeder osv, for at skabe en tættere forbindelse med vores kunder. Vi prioriterer også ugentlige Facebook live shopping events, hvor vi fremviser tøj, tilbyder rabatter og underholder vores kunder. Du kan se mere på Instagram og Tikt-tok på @aunoracom 
Jobbeskrivelse:
I denne rolle vil du hjælpe med at identificere og udnytte nye trends på Instagram og andre social media platforme. Du vil assistere Anne Sofie med at optage og redigere indhold og sikre, at det stemmer overens med vores kreative vision for forskellige typer social videoindhold, herunder produkt- og trendbaserede videoer. Derudover vil du være en stor støtte i vores Facebook live shopping events, ved at være med til at planlægge og producere indhold til vores events.
Du vil spille en afgørende rolle i at sikre, at vores indhold er dynamisk, engagerende og bygger på bevidsthed og loyalitet hos vores kunder.
Hvis du er passioneret omkring modebranchen og indhold skabelse, er dette din mulighed for at hjælpe med at opbygge en ny stor fashion webshop. Vi søger en engageret person, der er ivrig efter at blive en integreret del af vores rejse.
Ansvarsområder:
Skyde content der fungerer godt på særligt Instagram og TikTok.
Assistere Anne Sofie med at optage og redigere indhold, så det stemmer overens med vores kreative vision for forskellige typer video og billede indhold.
Støtte vores Facebook live shopping events ved at planlægge og producere indhold.
Sikre, at vores indhold er dynamisk, engagerende og bygger bevidsthed og loyalitet hos vores kunder.
Vi forventer af dig:
At du har en stærk forståelse for sociale medier, særligt Instagram, Tik Tok og Facebook
Er ok med at være med på billeder og videoer på hjemmeside og sociale medier
Erfaring med at tage billeder og video samt redigering heraf
Du er flydende i dansk og engelsk, både i tale og på skrift
Du har gå på mod og elsker at teste nye ting af 
Er udadvendt og ekstrovert
Yderligere Information:
Lokation: Øster Farimagsgade 20, 2100 København Ø
Startdato: Hurtigst muligt
Ansættelsestype: Studerende / Deltid - 10-15 timer ugentlig 
Kontaktperson: Anne Sofie, mobil 24 60 33 87
Sådan ansøger du:
Send gerne en ansøgning senest den 10. Oktober 2024. Vedlæg gerne link til dine sociale medier eller en eventuel portefølje med kreative projekter som video og billedmateriale. Vi afholder løbende samtaler. 
For more information or questions please contact us at anne@aunora.com or phone number 24603387",https://thehub.io/jobs/66e2a6619a7ef6c6c85d2452
Student/Junior Frontend Developer,Kilisi,Venture,Capital Copenhagen InternshipStudent,"Job Title: Student/Junior Frontend Developer
Company: Kilisi Venture Capital
Location: Denmark (Remote)

About Us:
Kilisi Venture Capital is a Denmark-based firm that specializes in providing legal and financial services to clients worldwide. We are committed to fostering innovation, supporting entrepreneurs, and facilitating global business growth. Our team combines legal and financial expertise to provide tailored solutions that empower businesses to thrive in today's dynamic environment.

Position Overview:
We are looking for a Student/Junior Frontend Developer to join our team. The ideal candidate will help create a dynamic, user-friendly website by utilizing existing templates. This platform will serve as a hub for exchanging experiences, knowledge, and ideas within the legal and financial services sectors.
This is an excellent opportunity for individuals looking to enhance their portfolio, gain hands-on experience, and work on a meaningful project in an international business environment.

Responsibilities:
Collaborate with the Kilisi team to understand the project vision and goals.
Build and design a responsive website using pre-existing templates.
Customize and implement website features that facilitate the exchange of experiences within the legal and financial communities.
Ensure the website is visually appealing, easy to navigate, and provides a seamless user experience.
Optimize the website for speed, performance, and SEO.
Regularly update the team on progress and incorporate feedback to improve the design and functionality.
Troubleshoot and resolve issues that arise during development.

Requirements:
Proficiency in HTML, CSS, and JavaScript.
Experience with frontend frameworks (e.g., React, Angular, or Vue.js) is a plus.
Familiarity with website builders and templates.
Basic understanding of responsive design and user experience principles.
Strong problem-solving skills and attention to detail.
Ability to work independently and manage time effectively.
Good communication skills and a collaborative mindset.
A passion for learning and contributing to meaningful projects.

What We Offer:
An opportunity to contribute to a growing venture capital firm with a global reach.
Hands-on experience in web development within the legal and financial sectors.
A chance to collaborate with experienced professionals and expand your network.
Flexibility to work remotely and manage your schedule.
The chance to add valuable project experience to your portfolio.

How to Apply:
If you’re passionate about web development and eager to gain experience while contributing to a global platform, we would love to hear from you! Please apply with your CV and a brief cover letter outlining your experience and why you’re interested in this voluntary position.

This role is ideal for developers looking to gain real-world experience while working on a project with global significance. Join us at Kilisi Venture Capital to make an impact!
For more information or questions please contact us at tomasz@kilisi.vc",https://thehub.io/jobs/66e4256b9a7ef6c6c8a6bb62
UI/UX Designer Intern,Gathergram,Remote,Internship,"Job Description:
We are looking for a creative and passionate UI/UX Designer Intern to join our team. The ideal candidate will work closely with our product and development teams to design intuitive and user-friendly interfaces for our mobile and web applications. You will play a key role in enhancing user experience and helping create a visually engaging app that makes every celebration unforgettable.
Responsibilities:
Collaborate with cross-functional teams to create wireframes, prototypes, and visual designs for mobile and web platforms.
Conduct user research and gather feedback to improve the user experience.
Design intuitive and user-centered UI/UX solutions that align with GatherGram’s vision.
Ensure consistent design language and aesthetics across all platforms.
Stay up to date with design trends and ensure our product is modern and visually appealing.
Qualifications:
Experience with design tools such as Adobe XD, Figma, Sketch, or similar.
A strong portfolio showcasing UI/UX design work.
Understanding of user-centered design principles and usability testing.
Ability to think creatively and critically about product design.
Excellent communication and collaboration skills.
Bonus Points:
Experience in mobile app design.
Knowledge of event-based apps or social media platforms.
Why GatherGram? At GatherGram, you’ll have the unique opportunity to shape the user experience of an app that is transforming the way people celebrate and connect at important social events. You’ll be working on a product that fosters creativity, collaboration, and emotional connections, making every design decision impactful. As part of a fast-growing startup, your contributions will directly influence the final product, allowing you to gain hands-on experience while building something truly revolutionary in the event space.
For more information or questions please contact us at Info@gathergram.app",https://thehub.io/jobs/66de09c69a7ef6c6c8801ab8
Creative marketing assistant,Copenhagen,sofa,lab Copenhagen Internship,"Are You Our Next Colleague?
We’re looking for a creative Marketing Assistant to join our dynamic team!
About the Role:
As a Digital Marketing and Content Creation Intern, you’ll play a crucial role in crafting engaging digital content and executing effective online marketing strategies. You’ll collaborate closely with our design team, which means you’ll have support for all your innovative ideas.
What We’re Looking For:
Content Creation: Produce fresh and innovative content. We’re open to new ideas and encourage you to think outside the box. This is your opportunity to learn and experiment with different approaches.
Key Qualities:
Eager to learn and grow in digital marketing and content creation.
Experience with Instagram.
Fluent in English; Danish is a plus.
Creative, communicative, and able to think outside the box.
Flexible, positive, and energetic approach to work.
What You Can Expect:
A unique chance to grow with our project.
Guidance from experienced professionals.
A fun, creative, and collaborative work environment with flexible scheduling.
The possibility of a permanent position as we expand; we’re a new company with a bright future and we’ll need talented individuals like you.
Need More Information?
Feel free to reach out to us via email if you have any questions.
Ready to Apply?
Send us your CV, tell us your availability, and let us know how long you’re able to be part of our team. We’re excited to hear from you!
For more information or questions please contact us at karina@copenhagensofalab.dk or phone number 27130906",https://thehub.io/jobs/66e17e0d9a7ef6c6c8287a10
Marketing Manager,Levitate,Copenhagen,Full-time,"Location: Copenhagen
Type: Full-Time
Experience Required: 5+ years in marketing and/or brand management

About Levitate:
At Levitate, we’re pioneering the future of prosthetic technology, combining cutting-edge design with functionality to empower lower-limb amputees. Known as the sports brand of the prosthetics industry, we're committed to enhancing mobility for everyone from elite athletes to daily active individuals. Founded in Copenhagen in 2020, we're expanding our reach, from direct consumer relations to strategic B2B partnerships, to make our groundbreaking prosthetics widely accessible.

Who We Are Looking For:
We are seeking a Marketing Manager to lead our strategic vision, focusing on our new B2B expansion and strengthening our market presence. The ideal candidate will be experienced in driving brand growth through innovative marketing strategies and will be instrumental in steering Levitate’s brand through its next phase of growth.

What You’ll Do:
Lead Brand Strategy: Craft and maintain Levitate’s brand identity across all platforms, ensuring our message resonates clearly and consistently.
Campaign Management: Design and implement comprehensive marketing campaigns to enhance engagement from both B2B and B2C perspectives.
Market Research: Stay ahead with proactive market research and competitor analysis, adapting strategies to maximize impact.
Performance Monitoring: Establish key performance indicators for marketing activities, using data to drive decision-making and strategy refinement.
Collaboration & Partnerships: Forge and nurture strategic partnerships and collaborations that boost our brand’s presence and reach.
Event Planning: Spearhead the planning and execution of promotional events and product demonstrations to engage our community and stakeholders.
Creative Oversight: Guide the creative process, ensuring all content aligns with Levitate’s mission and voice.

What You Bring:
A robust background in strategic marketing roles, with a track record of successful brand management.
Comprehensive knowledge of B2B and/or B2C marketing dynamics.
Adept at campaign management, market research, and analytics.
Leadership skills to inspire and manage a team, working effectively with both internal departments and external partners.
Exceptional communication and project management skills, able to convey complex ideas effectively.

Why Levitate? Joining Levitate means being at the forefront of a transformative industry. Here, your work directly contributes to changing lives through innovative mobility solutions. Be part of a passionate team dedicated to breaking barriers and creating significant, lasting impacts in the lives of individuals around the globe.

Application Process: Interested candidates should submit a resume and a cover letter that outlines how their experience aligns with the key responsibilities and qualifications of this role. Please include any relevant portfolio pieces or case studies that demonstrate your expertise in marketing and brand management.
For more information or questions please contact us at smc@letslevitate.com",https://thehub.io/jobs/66e6a00c9a7ef6c6c82e94e3
